place_id,google_name,google_address,google_rating,google_user_rating_count,google_price_level,google_primary_type,google_lat,google_lng,google_website,norm_name,distance_km,match_score,matched_to_michelin,matched_to_cuisine,matched_to_price
ChIJv3vgwFZbwokRwP07bRgRYdM,Artesano,"90 Chambers St Unit A, New York, NY 10007, USA",4.6,995.0,PRICE_LEVEL_MODERATE,peruvian_restaurant,40.7144772,-74.0074369,http://artesanorestaurant.com/,artesano,0.028639613939179683,14.206324632729842,Icca,Japanese,
ChIJSYuuSx9awokRyrrOFTGg0GY,Gran Morsi,"22 Warren St, New York, NY 10007, USA",4.4,611.0,PRICE_LEVEL_MODERATE,italian_restaurant,40.714315,-74.007766,http://www.granmorsi.com/,gran morsi,0.007048171322932369,10.425421944124814,Icca,Japanese,
ChIJ-0VhGB9awokRksxfZJBvigE,Serafina Tribeca,"95 W Broadway, New York, NY 10007, USA",4.4,1562.0,PRICE_LEVEL_MODERATE,italian_restaurant,40.7155048,-74.00894509999999,https://www.serafinarestaurant.com/,serafina tribeca,0.039567952894236605,18.92518456526916,Chambers,Contemporary,
ChIJV1VdJB9awokRsucxnGK_eTE,Mudville,"126 Chambers St, New York, NY 10007, USA",4.2,926.0,PRICE_LEVEL_MODERATE,american_restaurant,40.715208499999996,-74.00892329999999,http://www.mudvilleny.com/,mudville,0.05902113674362388,12.751746359076515,Chambers,Contemporary,
ChIJ6e4q1BhawokRWWDyNSiQ4yo,Benares Tribeca Indian Restaurant,"45 Murray St, New York, NY 10007, USA",4.2,2312.0,PRICE_LEVEL_MODERATE,indian_restaurant,40.7141495,-74.0092085,http://www.benaresnyc.com/,benares tribeca indian restaurant,0.14200015972153135,17.49599808334162,Ito,Japanese,
ChIJ87qt5hhawokRfDHmVxCxPJY,CUT by Wolfgang Puck,"99 Church St, New York, NY 10007, USA",4.4,780.0,PRICE_LEVEL_EXPENSIVE,restaurant,40.712855399999995,-74.0093466,https://wolfgangpuck.com/dining/cut-new-york/,cut by wolfgang puck,0.07159484605264715,11.340861847368233,Ito,Japanese,
ChIJnbEEPiBawokRN3BGCWpw2nE,69 Leonard Street,"69 Leonard St, New York, NY 10013, USA",4.5,241.0,PRICE_LEVEL_VERY_EXPENSIVE,japanese_restaurant,40.7176901,-74.0053795,http://www.69leonardstreet.com/,69 leonard street,0.0891745043643548,5.839905947627742,Atera,Contemporary,PRICE_LEVEL_VERY_EXPENSIVE
ChIJ256pFiBawokR-JFcFPAz7Ig,Two Hands,"251 Church St, New York, NY 10013, USA",4.4,1304.0,PRICE_LEVEL_MODERATE,australian_restaurant,40.7177931,-74.0054175,https://www.twohandshospitality.com/,two hands,0.08793384975756914,16.38479380290917,Farra,Contemporary,
ChIJoz4wBFFbwokRpkJ9fa2n4i8,Tara Kitchen Tribeca,"253 Church St, New York, NY 10013, USA",4.6,268.0,PRICE_LEVEL_MODERATE,moroccan_restaurant,40.717868599999996,-74.0053451,http://tarakitchentribeca.com/,tara kitchen tribeca,0.09772584563408743,6.1072898523909505,Farra,Contemporary,
ChIJhSLc_R5awokReYEI4dyODxA,Forgione,"30 Hudson St, New York, NY 10013, USA",4.6,764.0,PRICE_LEVEL_EXPENSIVE,american_restaurant,40.7166614,-74.0089507,http://www.marcforgione.com/,forgione,0.15386378818640148,10.39363454176318,Huso,Contemporary,
ChIJOYhlWR5awokROi9Hpwx0iQI,Gigino Trattoria,"323 Greenwich St, New York, NY 10013, USA",4.4,604.0,PRICE_LEVEL_MODERATE,italian_restaurant,40.71726470000001,-74.0104673,http://gigino-trattoria.com/,gigino trattoria,0.012192268971727717,10.293692772339268,Huso,Contemporary,
ChIJv-a4KB5awokR6TLKvHwGqQE,American Cut,"363 Greenwich St, New York, NY 10013, USA",4.5,1028.0,PRICE_LEVEL_VERY_EXPENSIVE,steak_house,40.7191028,-74.0100227,https://www.americancutsteakhouse.com/,american cut,0.08555851799803853,13.753297784023538,Jungsik New York,Korean,PRICE_LEVEL_VERY_EXPENSIVE
ChIJTWkuhfVZwokRS_go-fdp7Vs,Locanda Verde Tribeca,"377 Greenwich St, New York, NY 10013, USA",4.4,2317.0,PRICE_LEVEL_EXPENSIVE,italian_restaurant,40.7198401,-74.00993439999999,http://locandaverdenyc.com/,locanda verde tribeca,0.11999787904565651,17.960025451452122,Tamarind,Indian,PRICE_LEVEL_EXPENSIVE
ChIJlfNObvVZwokRYKVKPX21uOU,Mr Chow,"121 Hudson St, New York, NY 10013, USA",3.9,693.0,PRICE_LEVEL_EXPENSIVE,restaurant,40.720095,-74.0088869,https://www.mrchow.com/,mr chow,0.11196137620754838,9.48646348550942,Tamarind,Indian,PRICE_LEVEL_EXPENSIVE
ChIJu7pIuopZwokRvIsndYhPg4U,Frenchette,"241 W Broadway, New York, NY 10013, USA",4.3,1278.0,PRICE_LEVEL_EXPENSIVE,french_restaurant,40.7196192,-74.0056937,http://frenchettenyc.com/,frenchette,0.04512002435679298,16.538559707718484,One White Street,Contemporary,
ChIJL7u0rIpZwokRmbw3wEvmxTg,Terra,"225 W Broadway, New York, NY 10013, USA",4.3,844.0,PRICE_LEVEL_MODERATE,italian_restaurant,40.7192502,-74.0061094,https://www.terrawinebar.com/,terra,0.013327160573987201,12.580074073112153,One White Street,Contemporary,
ChIJU4Y5bNNbwokRu8Y53Q4_PdY,Serafina Financial District,"30 Broad St, New York, NY 10004, USA",4.6,1049.0,PRICE_LEVEL_MODERATE,italian_restaurant,40.7062993,-74.0113669,https://serafinarestaurant.com/,serafina financial district,0.13946446553430014,13.416426413588399,Maison Passerelle,French,
ChIJu7pIuopZwokRvIsndYhPg4U,Frenchette,"241 W Broadway, New York, NY 10013, USA",4.3,1278.0,PRICE_LEVEL_EXPENSIVE,french_restaurant,40.7196192,-74.0056937,http://frenchettenyc.com/,frenchette,0.013059859447758986,16.92328168662689,Eulalie,French,
ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,"41 Mott St, New York, NY 10013, USA",4.4,3787.0,PRICE_LEVEL_INEXPENSIVE,chinese_restaurant,40.715172599999995,-73.9989063,https://mlwbakery.com/,mei lai wah,0.015494938230361896,19.214060741235656,Cha Kee,Asian,PRICE_LEVEL_INEXPENSIVE
ChIJ-eS_PhdbwokRjlCFlhmIGdU,House of Joy,"28 Pell St, New York, NY 10013, USA",4.1,1368.0,PRICE_LEVEL_INEXPENSIVE,dim_sum_restaurant,40.7150183,-73.99849120000002,https://houseofjoynyc.com/,house of joy,0.05092766295296246,17.16886804456445,Cha Kee,Asian,PRICE_LEVEL_INEXPENSIVE
ChIJqwvF8CZawokRwi6ijQhRGD0,Nom Wah Tea Parlor,"13 Doyers St, New York, NY 10013, USA",4.2,5244.0,PRICE_LEVEL_INEXPENSIVE,dim_sum_restaurant,40.7145089,-73.998188,http://www.nomwah.com/,nom wah tea parlor,0.011661569039298405,19.060061171528417,Lei,Chinese,
ChIJdchGBSdawokRrNBainqPr-I,Mei Lai Wah | Wonton Noodle Garden,"23 Pell St, New York, NY 10038, USA",4.3,1950.0,PRICE_LEVEL_INEXPENSIVE,chinese_restaurant,40.7148058,-73.9982129,http://www.wontonnoodlegarden.com/,mei lai wah wonton noodle garden,0.0238792582608901,19.01344890086932,Lei,Chinese,
ChIJ8Vp47SZawokRcgG7mrbDnPQ,Ajisen Ramen,"14 Mott St, New York, NY 10013, USA",4.6,2588.0,PRICE_LEVEL_INEXPENSIVE,ramen_restaurant,40.71414,-73.998606,https://www.ajisenramennyc.com/,ajisen ramen,0.04662728112968897,19.040472626443734,Bridges,Contemporary,
ChIJmZTuWtBbwokRWxbraRwj8xA,Tasty Hand - Pulled Noodles,"1 Doyers St, New York, NY 10013, USA",4.4,1472.0,PRICE_LEVEL_INEXPENSIVE,chinese_noodle_restaurant,40.7142425,-73.9978903,http://www.tastyhandpullednoodlesnyc.com/,tasty hand pulled noodles,0.028087716210711475,18.782947405471464,Bridges,Contemporary,
ChIJXczCZSZawokRerIzds-K5e0,Golden Unicorn,"18 E Broadway, New York, NY 10002, USA",4.0,3509.0,PRICE_LEVEL_MODERATE,dim_sum_restaurant,40.713700599999996,-73.997193,https://goldenunicornrestaurant.com/,golden unicorn,0.06497663090278817,18.220280429166543,Dim Sum Go Go,Chinese,PRICE_LEVEL_MODERATE
ChIJ2XIY-CZawokRokUjxBSl5hw,Joe's Shanghai,"46 Bowery, New York, NY 10013, USA",4.2,6143.0,PRICE_LEVEL_INEXPENSIVE,chinese_restaurant,40.7156656,-73.99669879999999,https://order.toasttab.com/online/joes-shanghai,joes shanghai,0.05580531876786554,18.530336174785614,Yamada,Japanese,
ChIJB9obBCdawokR_I47fRFPBhc,Deluxe Green Bo,"66 Bayard St, New York, NY 10013, USA",4.3,1627.0,PRICE_LEVEL_INEXPENSIVE,chinese_restaurant,40.715617699999996,-73.9980053,https://deluxegreentogo.com/,deluxe green bo,0.07185127882455232,18.43778465410537,Yamada,Japanese,
ChIJDVWAj4lZwokRiQQKeBiTHcI,NOMO Kitchen,"9 Crosby St, New York, NY 10013, USA",3.9,1282.0,PRICE_LEVEL_EXPENSIVE,american_restaurant,40.7198649,-74.000234,https://www.nomosoho.com/nomo-soho-kitchen/,nomo kitchen,0.16622813756821372,14.725262349181435,La Mercerie,French,PRICE_LEVEL_EXPENSIVE
ChIJ7cmhqPVZwokRcWzLzM5e-5A,Wolfgang's Steakhouse,"409 Greenwich St, New York, NY 10013, USA",4.4,1661.0,PRICE_LEVEL_VERY_EXPENSIVE,steak_house,40.721252,-74.00966439999999,https://wolfgangssteakhouse.net/,wolfgangs steakhouse,0.07395685878219473,18.512517694613663,Muku,Japanese,
ChIJTWkuhfVZwokRS_go-fdp7Vs,Locanda Verde Tribeca,"377 Greenwich St, New York, NY 10013, USA",4.4,2317.0,PRICE_LEVEL_EXPENSIVE,italian_restaurant,40.7198401,-74.00993439999999,http://locandaverdenyc.com/,locanda verde tribeca,0.2273602671349954,16.671676794380055,Muku,Japanese,
ChIJgWmOm_VZwokRSUIfoxNB9ng,Yves,"385 Greenwich St, New York, NY 10013, USA",4.1,323.0,PRICE_LEVEL_MODERATE,french_restaurant,40.7202175,-74.0099559,http://www.yves-nyc.com/,yves,0.1854039909587925,5.10515210849449,L’abeille à Côté,French,
ChIJ7cmhqPVZwokRcWzLzM5e-5A,Wolfgang's Steakhouse,"409 Greenwich St, New York, NY 10013, USA",4.4,1661.0,PRICE_LEVEL_VERY_EXPENSIVE,steak_house,40.721252,-74.00966439999999,https://wolfgangssteakhouse.net/,wolfgangs steakhouse,0.09109411201047911,18.30687065587425,L’Abeille,French,PRICE_LEVEL_VERY_EXPENSIVE
ChIJt_msWohZwokRlV0jDszwxFo,Tomiño Taberna Gallega,"192 Grand St, New York, NY 10013, USA",4.6,2268.0,PRICE_LEVEL_MODERATE,spanish_restaurant,40.719509099999996,-73.9968921,http://www.tominonyc.com/,tomio taberna gallega,0.05034117537984829,18.995905895441823,Nyonya,Malaysian,PRICE_LEVEL_MODERATE
ChIJ11vJWohZwokRpB812SavVWI,Hometown Hotpot & BBQ,"194 Grand St, New York, NY 10013, USA",4.3,2104.0,PRICE_LEVEL_MODERATE,hot_pot_restaurant,40.719403,-73.996849,http://hometownhotpot.com/,hometown hotpot bbq,0.038933671290118675,18.832795944518576,Nyonya,Malaysian,PRICE_LEVEL_MODERATE
ChIJoR3RZyhawokRwR91d6hJvvY,Super Taste,"26 Eldridge St, New York, NY 10002, USA",4.6,1545.0,PRICE_LEVEL_INEXPENSIVE,chinese_restaurant,40.715066199999995,-73.9933358,http://www.noodle5888.com/,super taste,0.04671926002023701,19.039368879757156,Corima,Mexican,
ChIJQaJeJexbwokR3tRvK_apU4A,Fong On,"81 Division St, New York, NY 10002, USA",4.6,496.0,PRICE_LEVEL_MODERATE,korean_restaurant,40.7141916,-73.99374759999999,https://www.fongon.net/,fong on,0.0755106559247836,8.653872128902595,Corima,Mexican,
ChIJD-1a9ChawokRnTSi_Et62x4,Kiki's,"130 Division St, New York, NY 10002, USA",4.4,2465.0,PRICE_LEVEL_MODERATE,greek_restaurant,40.7145497,-73.9918591,http://kikisnyc.com/,kikis,0.03846684082202638,18.93839791013568,Shabushabu Mayumon,Japanese,
ChIJCSo-rSlawokRXSVW0IKZ3vQ,Kopitiam,"151 E Broadway, New York, NY 10002, USA",4.2,1562.0,PRICE_LEVEL_INEXPENSIVE,malaysian_restaurant,40.7137994,-73.9909127,https://www.kopitiamnyc.com/,kopitiam,0.10795190362195432,17.904577156536547,Shabushabu Mayumon,Japanese,
ChIJa128pIhZwokRnoPKJguYBCA,Balzem,"202 Mott St, New York, NY 10012, USA",4.6,1624.0,PRICE_LEVEL_MODERATE,mediterranean_restaurant,40.7213239,-73.9954644,https://www.balzem.com/,balzem,0.06956563748766084,18.765212350148072,Thai Diner,Thai,PRICE_LEVEL_MODERATE
ChIJiYsEnohZwokR8oZK_TgmSjY,The Butcher's Daughter,"19 Kenmare St, New York, NY 10012, USA",4.0,2155.0,PRICE_LEVEL_MODERATE,vegetarian_restaurant,40.7206739,-73.9947071,https://www.thebutchersdaughter.com/?utm_source=google&utm_medium=organic&utm_campaign=business-profile&utm_term=nolita,the butchers daughter,0.07958930374991612,18.044928355001005,Thai Diner,Thai,PRICE_LEVEL_MODERATE
ChIJ58HssClawokRefq6VNIOrlY,Metrograph,"7 Ludlow St, New York, NY 10002, USA",4.6,1470.0,PRICE_LEVEL_EXPENSIVE,movie_theater,40.715143,-73.9911467,http://metrograph.com/,metrograph,0.035379677480190434,18.875443870237714,Cervo’s,Spanish,PRICE_LEVEL_EXPENSIVE
ChIJ0XJEBIZZwokR3iPgClK9uEg,Peasant,"194 Elizabeth St, New York, NY 10012, USA",4.4,796.0,PRICE_LEVEL_EXPENSIVE,italian_restaurant,40.721696,-73.994272,http://www.peasantnyc.com/,peasant,0.07759170172472186,11.428899579303337,Wayan,Indonesian,PRICE_LEVEL_EXPENSIVE
ChIJ86M4bHZZwokRdo33ALzbSCE,Kyuramen,"132 Bowery, New York, NY 10013, USA",4.5,1960.0,PRICE_LEVEL_MODERATE,ramen_restaurant,40.718935800000004,-73.9948757,http://www.kyuramen.com/,kyuramen,0.13112392019652636,17.926512957641684,Potluck Club,Chinese,PRICE_LEVEL_MODERATE
ChIJqYLInohZwokRyVt0R66Ws5Q,Cocoron,"16 Delancey St, New York, NY 10002, USA",4.4,1342.0,PRICE_LEVEL_MODERATE,restaurant,40.720301,-73.9930462,https://www.cocoronandgoemon.com/,cocoron,0.09031175424154969,16.736258949101405,Potluck Club,Chinese,PRICE_LEVEL_MODERATE
