restaurant_name,restaurant_url,location,price_level,cuisine,michelin_distinction,raw_card_text,page_number,place_id,google_name,google_address,google_rating,google_user_rating_count,google_price_level,google_primary_type,google_lat,google_lng,google_website
Icca,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/icca,"New York, NY, USA",$$$$,Japanese,One Star,"Reserve a table | Icca | New York, NY, USA | $$$$ · Japanese | Reserve a table | Chambers | New York, NY, USA | $$$ · Contemporary | Ito | New York, NY, USA | $$$$ · Japanese | Reserve a table | Atera | New York, NY, USA | $$$$ · Contemporary | Farra | New York, NY, USA | $$$ · Contemporary | Reserve a table | Huso | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Manhatta | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Jungsik New York | New York, NY, USA | $$$$ · Korean | Reserve a table | Tamarind | New York, NY, USA | $$$ · Indian | Reserve a table | One White Street | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Crown Shy | New York, NY, USA | $$$ · Contemporary | Reserve a table | Maison Passerelle | New York, NY, USA | $$$$ · French | Eulalie | New York, NY, USA | $$$ · French | Cha Kee | New York, NY, USA | $$ · Asian | Reserve a table | Saga | New York, NY, USA | $$$$ · Contemporary | Lei | New York, NY, USA | $$ · Chinese | Bridges | New York, NY, USA | $$$ · Contemporary | Dim Sum Go Go | New York, NY, USA | $$ · Chinese | Reserve a table | Carne Mare | New York, NY, USA | $$$$ · Steakhouse | Yamada | New York, NY, USA | $$$$ · Japanese | La Mercerie | New York, NY, USA | $$$$ · French | Reserve a table | Le Coucou | New York, NY, USA | $$$$ · French | 11 Howard | Reserve a table | Muku | New York, NY, USA | $$$$ · Japanese | Reserve a table | L’abeille à Côté | New York, NY, USA | $$$$ · French | Reserve a table | L’Abeille | New York, NY, USA | $$$$ · French | Nyonya | New York, NY, USA | $ · Malaysian | Reserve a table | Corima | New York, NY, USA | $$$$ · Mexican | Shabushabu Mayumon | New York, NY, USA | $$$$ · Japanese | Reserve a table | Thai Diner | New York, NY, USA | $$ · Thai | Reserve a table | Cervo’s | New York, NY, USA | $$$ · Spanish | Reserve a table | Wayan | New York, NY, USA | $$$ · Indonesian | Potluck Club | New York, NY, USA | $$ · Chinese | Reserve a table | Altro Paradiso | New York, NY, USA | $$$ · Italian | Reserve a table | Ma•dé | New York, NY, USA | $$$ · South East Asian | Comal | New York, NY, USA | $$$ · Mexican | Reserve a table | Tolo | New York, NY, USA | $$ · Chinese | Reserve a table | Dirt Candy | New York, NY, USA | $$$$ · Vegetarian | Reserve a table | The River Café | Brooklyn, NY, USA | $$$$ · Contemporary | Reserve a table | Raoul's | New York, NY, USA | $$$$ · French | Reserve a table | Pinch Chinese | New York, NY, USA | $$ · Chinese | Reserve a table | César | New York, NY, USA | $$$$ · Contemporary | Sushi Ikumi | New York, NY, USA | $$$$ · Japanese | Reserve a table | Torrisi | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Forsythia | New York, NY, USA | $$$$ · Italian | Russ & Daughters Cafe | New York, NY, USA | $$ · American | The Musket Room | New York, NY, USA | $$$$ · Contemporary | Reserve a table | King | New York, NY, USA | $$$ · Mediterranean Cuisine | Reserve a table | Estela | New York, NY, USA | $$$$ · Contemporary",1,ChIJyRIhC_dbwokRqGoh89KPQME,icca,"20 Warren St, New York, NY 10007, USA",4.5,136.0,,japanese_restaurant,40.714300800000004,-74.0076845,https://www.exploretock.com/icca
Chambers,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/chambers,"New York, NY, USA",$$$,Contemporary,Selected Restaurants,"Reserve a table | Chambers | New York, NY, USA | $$$ · Contemporary",1,ChIJp1vZ3x5awokRpy0sG0r8_yU,Chambers Street,"Chambers St, New York, NY, USA",,,,,40.7155988,-74.0093979,
Ito,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ito-1201767,"New York, NY, USA",$$$$,Japanese,Selected Restaurants,"Ito | New York, NY, USA | $$$$ · Japanese",1,ChIJiW_7kM9bwokR9qMrG4XITL8,ITO,"75 Barclay St, New York, NY 10007, USA",4.5,92.0,,restaurant,40.7130854,-74.01013999999999,https://itotribeca.com/
Atera,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atera,"New York, NY, USA",$$$$,Contemporary,Two Stars,"Reserve a table | Atera | New York, NY, USA | $$$$ · Contemporary",1,ChIJ_Y7rMCBawokR0mnRmN5kL2o,Atera,"77 Worth St, New York, NY 10013, USA",4.6,613.0,PRICE_LEVEL_VERY_EXPENSIVE,american_restaurant,40.7169003,-74.0055631,http://www.ateranyc.com/
Farra,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/farra,"New York, NY, USA",$$$,Contemporary,Selected Restaurants,"Farra | New York, NY, USA | $$$ · Contemporary",1,ChIJYw5z8rhbwokRvlPiJa21fuI,Farra,"71 Worth St, New York, NY 10013, USA",4.6,190.0,,restaurant,40.717031299999995,-74.0056975,https://farranyc.com/
Huso,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/huso-1218089,"New York, NY, USA",$$$$,Contemporary,One Star,"Reserve a table | Huso | New York, NY, USA | $$$$ · Contemporary",1,ChIJJy7oGqZZwokReiM-H1qtHYs,Huso,"323A Greenwich St, New York, NY 10013, USA",4.7,289.0,,fine_dining_restaurant,40.717366299999995,-74.0105217,http://husony.com/
Manhatta,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/manhatta,"New York, NY, USA",$$$$,Contemporary,Selected Restaurants,"Reserve a table | Manhatta | New York, NY, USA | $$$$ · Contemporary",1,ChIJoTXWl8dbwokRpKA2BJFVsGA,Manhatta,"28 Liberty St 60th floor, New York, NY 10005, USA",4.7,3780.0,PRICE_LEVEL_VERY_EXPENSIVE,american_restaurant,40.707997399999996,-74.00888259999999,https://www.manhattarestaurant.com/restaurant-menu/
Jungsik New York,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jungsik-new-york,"New York, NY, USA",$$$$,Korean,Three Stars,"Reserve a table | Jungsik New York | New York, NY, USA | $$$$ · Korean",1,ChIJpSTN0R9awokRI29rK_SfbeA,Jungsik,"2 Harrison St, New York, NY 10013, USA",4.6,975.0,PRICE_LEVEL_VERY_EXPENSIVE,korean_restaurant,40.7188267,-74.00907509999999,http://www.jungsik.com/
Tamarind,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/tamarind,"New York, NY, USA",$$$,Indian,Selected Restaurants,"Reserve a table | Tamarind | New York, NY, USA | $$$ · Indian",1,ChIJ6Vva1h9awokRXw_JSQ_x6y4,Tamarind Tribeca,"99 Hudson St, New York, NY 10013, USA",4.2,2966.0,PRICE_LEVEL_EXPENSIVE,indian_restaurant,40.7190883,-74.00891290000001,http://www.tamarindtribeca.com/
One White Street,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/one-white-street,"New York, NY, USA",$$$$,Contemporary,Selected Restaurants,"Reserve a table | One White Street | New York, NY, USA | $$$$ · Contemporary",1,ChIJISXTwWJZwokRIok4xyMeb6g,One White Street,"1 White St, New York, NY 10013, USA",4.4,387.0,,restaurant,40.7192639,-74.00595229999999,https://www.onewhitestreetnyc.com/
