restaurant_name,restaurant_url,location,price_level,cuisine,michelin_distinction,raw_card_text,page_number
Icca,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/icca," New York, NY, USA",$$$$,"Japanese | Reserve a table | Chambers | New York, NY, USA | $$$ · Contemporary | Ito | New York, NY, USA | $$$$ · Japanese | Reserve a table | Atera | New York, NY, USA | $$$$ · Contemporary | Farra | New York, NY, USA | $$$ · Contemporary | Reserve a table | Huso | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Manhatta | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Jungsik New York | New York, NY, USA | $$$$ · Korean | Reserve a table | Tamarind | New York, NY, USA | $$$ · Indian | Reserve a table | One White Street | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Crown Shy | New York, NY, USA | $$$ · Contemporary | Reserve a table | Maison Passerelle | New York, NY, USA | $$$$ · French | Eulalie | New York, NY, USA | $$$ · French | Cha Kee | New York, NY, USA | $$ · Asian | Reserve a table | Saga | New York, NY, USA | $$$$ · Contemporary | Lei | New York, NY, USA | $$ · Chinese | Bridges | New York, NY, USA | $$$ · Contemporary | Dim Sum Go Go | New York, NY, USA | $$ · Chinese | Reserve a table | Carne Mare | New York, NY, USA | $$$$ · Steakhouse | Yamada | New York, NY, USA | $$$$ · Japanese | La Mercerie | New York, NY, USA | $$$$ · French | Reserve a table | Le Coucou | New York, NY, USA | $$$$ · French | 11 Howard | Reserve a table | Muku | New York, NY, USA | $$$$ · Japanese | Reserve a table | L’abeille à Côté | New York, NY, USA | $$$$ · French | Reserve a table | L’Abeille | New York, NY, USA | $$$$ · French | Nyonya | New York, NY, USA | $ · Malaysian | Reserve a table | Corima | New York, NY, USA | $$$$ · Mexican | Shabushabu Mayumon | New York, NY, USA | $$$$ · Japanese | Reserve a table | Thai Diner | New York, NY, USA | $$ · Thai | Reserve a table | Cervo’s | New York, NY, USA | $$$ · Spanish | Reserve a table | Wayan | New York, NY, USA | $$$ · Indonesian | Potluck Club | New York, NY, USA | $$ · Chinese | Reserve a table | Altro Paradiso | New York, NY, USA | $$$ · Italian | Reserve a table | Ma•dé | New York, NY, USA | $$$ · South East Asian | Comal | New York, NY, USA | $$$ · Mexican | Reserve a table | Tolo | New York, NY, USA | $$ · Chinese | Reserve a table | Dirt Candy | New York, NY, USA | $$$$ · Vegetarian | Reserve a table | The River Café | Brooklyn, NY, USA | $$$$ · Contemporary | Reserve a table | Raoul's | New York, NY, USA | $$$$ · French | Reserve a table | Pinch Chinese | New York, NY, USA | $$ · Chinese | Reserve a table | César | New York, NY, USA | $$$$ · Contemporary | Sushi Ikumi | New York, NY, USA | $$$$ · Japanese | Reserve a table | Torrisi | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Forsythia | New York, NY, USA | $$$$ · Italian | Russ & Daughters Cafe | New York, NY, USA | $$ · American | The Musket Room | New York, NY, USA | $$$$ · Contemporary | Reserve a table | King | New York, NY, USA | $$$ · Mediterranean Cuisine | Reserve a table | Estela | New York, NY, USA | $$$$ · Contemporary",1 star,"Reserve a table | Icca | New York, NY, USA | $$$$ · Japanese | Reserve a table | Chambers | New York, NY, USA | $$$ · Contemporary | Ito | New York, NY, USA | $$$$ · Japanese | Reserve a table | Atera | New York, NY, USA | $$$$ · Contemporary | Farra | New York, NY, USA | $$$ · Contemporary | Reserve a table | Huso | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Manhatta | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Jungsik New York | New York, NY, USA | $$$$ · Korean | Reserve a table | Tamarind | New York, NY, USA | $$$ · Indian | Reserve a table | One White Street | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Crown Shy | New York, NY, USA | $$$ · Contemporary | Reserve a table | Maison Passerelle | New York, NY, USA | $$$$ · French | Eulalie | New York, NY, USA | $$$ · French | Cha Kee | New York, NY, USA | $$ · Asian | Reserve a table | Saga | New York, NY, USA | $$$$ · Contemporary | Lei | New York, NY, USA | $$ · Chinese | Bridges | New York, NY, USA | $$$ · Contemporary | Dim Sum Go Go | New York, NY, USA | $$ · Chinese | Reserve a table | Carne Mare | New York, NY, USA | $$$$ · Steakhouse | Yamada | New York, NY, USA | $$$$ · Japanese | La Mercerie | New York, NY, USA | $$$$ · French | Reserve a table | Le Coucou | New York, NY, USA | $$$$ · French | 11 Howard | Reserve a table | Muku | New York, NY, USA | $$$$ · Japanese | Reserve a table | L’abeille à Côté | New York, NY, USA | $$$$ · French | Reserve a table | L’Abeille | New York, NY, USA | $$$$ · French | Nyonya | New York, NY, USA | $ · Malaysian | Reserve a table | Corima | New York, NY, USA | $$$$ · Mexican | Shabushabu Mayumon | New York, NY, USA | $$$$ · Japanese | Reserve a table | Thai Diner | New York, NY, USA | $$ · Thai | Reserve a table | Cervo’s | New York, NY, USA | $$$ · Spanish | Reserve a table | Wayan | New York, NY, USA | $$$ · Indonesian | Potluck Club | New York, NY, USA | $$ · Chinese | Reserve a table | Altro Paradiso | New York, NY, USA | $$$ · Italian | Reserve a table | Ma•dé | New York, NY, USA | $$$ · South East Asian | Comal | New York, NY, USA | $$$ · Mexican | Reserve a table | Tolo | New York, NY, USA | $$ · Chinese | Reserve a table | Dirt Candy | New York, NY, USA | $$$$ · Vegetarian | Reserve a table | The River Café | Brooklyn, NY, USA | $$$$ · Contemporary | Reserve a table | Raoul's | New York, NY, USA | $$$$ · French | Reserve a table | Pinch Chinese | New York, NY, USA | $$ · Chinese | Reserve a table | César | New York, NY, USA | $$$$ · Contemporary | Sushi Ikumi | New York, NY, USA | $$$$ · Japanese | Reserve a table | Torrisi | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Forsythia | New York, NY, USA | $$$$ · Italian | Russ & Daughters Cafe | New York, NY, USA | $$ · American | The Musket Room | New York, NY, USA | $$$$ · Contemporary | Reserve a table | King | New York, NY, USA | $$$ · Mediterranean Cuisine | Reserve a table | Estela | New York, NY, USA | $$$$ · Contemporary",1
Icca,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/icca," New York, NY, USA",$$$$,Japanese,1 star,"Reserve a table | Icca | New York, NY, USA | $$$$ · Japanese",1
Chambers,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/chambers," New York, NY, USA",$$$,Contemporary,,"Reserve a table | Chambers | New York, NY, USA | $$$ · Contemporary",1
Ito,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ito-1201767," New York, NY, USA",$$$$,Japanese,,"Ito | New York, NY, USA | $$$$ · Japanese",1
Atera,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atera," New York, NY, USA",$$$$,Contemporary,2 star,"Reserve a table | Atera | New York, NY, USA | $$$$ · Contemporary",1
Farra,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/farra," New York, NY, USA",$$$,Contemporary,,"Farra | New York, NY, USA | $$$ · Contemporary",1
Huso,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/huso-1218089," New York, NY, USA",$$$$,Contemporary,1 star,"Reserve a table | Huso | New York, NY, USA | $$$$ · Contemporary",1
Manhatta,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/manhatta," New York, NY, USA",$$$$,Contemporary,,"Reserve a table | Manhatta | New York, NY, USA | $$$$ · Contemporary",1
Jungsik New York,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jungsik-new-york," New York, NY, USA",$$$$,Korean,3 star,"Reserve a table | Jungsik New York | New York, NY, USA | $$$$ · Korean",1
Tamarind,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/tamarind," New York, NY, USA",$$$,Indian,,"Reserve a table | Tamarind | New York, NY, USA | $$$ · Indian",1
